code,name,level,gpt-4o-mini_prompt_v1,gpt-4o-mini_prompt_v2,gpt-4o_prompt_v1,gpt-4o_prompt_v2
43211507,Computadores de escritorio,PRODUCT,"computadora de escritorio, PC de escritorio, desktop, computadora fija, equipo de cómputo de escritorio","compu, computadora de escritorio, desktop, pc, computadora fija","PC de escritorio, computadora de mesa, desktop, ordenador de escritorio, equipo de escritorio","computadora de escritorio, pc de escritorio, desktop, compu de escritorio, equipo de escritorio"
43211509,Servidores de computador,PRODUCT,"servidor, servidor de computadora, servidor físico, equipo de servidor, máquina de servidor","servidor, servidor de computadora, servidor físico, server","servidor de red, servidor informático, server, equipo servidor, servidor de datos","servidor, servidor de red, servidor de datos, server, equipo servidor"
81111812,Servicio de mantenimiento o soporte del hardware del computador,PRODUCT,"mantenimiento de hardware, soporte técnico de hardware, servicio técnico de computadoras, reparación de hardware, asistencia técnica de hardware","mto. hardware, soporte técnico, servicio de mantenimiento, reparación de compus, soporte de pc","mantenimiento de hardware, soporte técnico de hardware, servicio técnico de computadoras, reparación de hardware, asistencia técnica de equipos","mantenimiento de hardware, soporte de hardware, mto. de compu, svc. de hardware, reparacion de computadora"
81112502,Servicio de arriendo o leasing de software de computadores,PRODUCT,"arriendo de software, leasing de software, alquiler de software, renta de software, servicio de arrendamiento de software","arriendo de software, leasing de software, renta de software, servicio de software","leasing de software, renta de software, alquiler de licencias, arrendamiento de programas, suscripción de software","leasing de software, renta de software, arrendamiento de software, alquiler de licencias, suscripcion de software"
44103108,Reveladores para impresoras o fotocopiadoras,PRODUCT,"tóner para impresoras, cartuchos para impresoras, suministros de impresión, revelador para fotocopiadoras, consumibles para impresoras","tóner, cartucho, revelador, suministros de impresora","toner, cartucho de revelado, suministros de impresora, revelador de tinta, consumibles de impresora","revelador de impresora, revelador de copiadora, toner revelador, polvo revelador, insumo de impresora"
50202301,Cerveza,PRODUCT,"cerveza artesanal, cerveza lager, cerveza clara, bebida alcohólica, chela","chela, cerveza, cerveza artesanal, bebida alcohólica","chela, cerveza artesanal, birra, bebida de cebada, lager, pilsner","chela, cerveza artesanal, cerveza comercial, birra, bebida de cebada"
50202302,Vino,PRODUCT,"vino tinto, vino blanco, vino rosado, bebida alcohólica, vino de mesa","vino, vino tinto, vino blanco, bebida alcohólica","vino tinto, vino blanco, vino rosado, tinto, blanco, rosado","vino tinto, vino blanco, vino rosado, bebida de uva, vino espumoso"
50201700,Cafe y te,PRODUCT,"café, té, infusiones, bebida caliente, bebida no alcohólica","café, té, bebida caliente, infusión","infusiones, té, café molido, café en grano, bebidas calientes","cafe, te, infusiones, bebida caliente, cafe molido"
80141701,Servicios de venta directa,PRODUCT,"venta directa, venta al por menor, distribución directa, comercialización directa, venta sin intermediarios","venta directa, venta al público, distribución directa, servicio de ventas","venta puerta a puerta, venta por catálogo, venta directa al consumidor, venta personalizada, distribución directa","venta directa, ventas personales, distribucion directa, comercializacion directa, venta puerta a puerta"
81161704,Servicio de soporte para telefonia movil,PRODUCT,"soporte técnico de telefonía móvil, asistencia técnica de celulares, servicio de reparación de móviles, mantenimiento de telefonía móvil, servicio de soporte para smartphones","soporte celular, servicio de telefonía, mto. telefonía móvil, soporte de cel","soporte celular, asistencia para móviles, servicio técnico de telefonía, atención a clientes móviles, soporte de smartphones","soporte de celular, soporte de telefonia, asistencia para celular, svc. de telefonia, mto. de celular"
